,Name,Date,Developer,Publisher,Genre,Price,Langs,DLC,Mature,Single,Total Review Cnt,Pos Review Cnt,Neg Review Cnt,Score,appid,Tags,description
3511,WorkPlaceRhapsody-Beach,"8 Apr, 2022",YooGame,YooGame,"['Casual', 'Indie', 'RPG', 'Simulation']",159.0,"['English', 'Traditional Chinese', 'Japanese', 'Simplified Chinese']",0.0,1.0,1.0,,,,0.7010261471617641,1927070,"['RPG', 'Indie', 'Casual', 'Simulation', 'Sexual Content', 'Nudity', 'Mature', 'Visual Novel', 'Romance', 'Dating Sim', 'Time Management', 'Drama', 'Relaxing', 'Comic Book', 'Story Rich']","A seaside adventure game, players need to balance their own attributes, do a good job of time management, and each female interaction, in the best way to obtain the goodwill of women"
3512,Borderlands 2: Commando Supremacy Pack,"22 Jan, 2013",Gearbox Software,2K,"['Action', 'RPG']",99.0,"['English', 'German', 'French', 'Italian', 'Spanish - Spain', 'Japanese', 'Korean']",0.0,0.0,1.0,,,,0.6781524453958997,225821,"['Action', 'RPG']",Enhance your Vault-hunting experience with a fresh new style! This pack contains the Covert Op head and Advanced Warfare skin for the Commando - look for them in the character customization menu! This content not included in Season Pass.
3513,Cities: Skylines - Rock City Radio,"18 May, 2017",Paradox Interactive,Paradox Interactive,"['Simulation', 'Strategy']",399.0,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese']",0.0,0.0,1.0,,,,0.7042429417749636,614582,"['Strategy', 'Simulation', 'City Builder']","Do you wish your commute was more head banging, and less banging your head on the steering wheel? Are all of the suburbs you have designed best described as 'rockin''? Cities: Skylines has the tunes you've been waiting for!"
3514,Borderlands 2: Psycho Supremacy Pack,"2 Jul, 2013",Gearbox Software,2K,"['Action', 'RPG']",99.0,"['English', 'French', 'German', 'Italian', 'Japanese', 'Spanish - Spain', 'Korean']",0.0,0.0,1.0,,,,0.6838683908897706,224164,"['Action', 'RPG']","Enhance your Vault-hunting experience with a fresh new style! This pack contains the SPLITTING HEADACHE HAHAHA head and the CROSSED THE LINE skin for the Psycho - look for them in the character customization menu! This pack requires the Psycho Pack, sold separately."
3515,Is It Wrong to Repay the Debt in a Dungeon?,"14 Apr, 2023",Atelier Wanko,OTAKU Plan,"['Adventure', 'RPG']",1749.0,"['English', 'Japanese', 'Simplified Chinese']",0.0,1.0,1.0,,,,0.7273750737584456,2114350,"['Nudity', 'Sexual Content', 'NSFW', 'Roguelike Deckbuilder', 'Card Game', 'Mystery Dungeon', 'Female Protagonist', 'Adventure', 'RPG', 'Turn-Based Tactics', 'Turn-Based Strategy', 'JRPG', 'Anime', 'Trading Card Game', 'Traditional Roguelike', 'Fantasy', 'Story Rich', 'Turn-Based Combat', 'Singleplayer', 'Card Battler']","To repay the debt, both Akane and her mother have to earn a lot of money! Explore the dungeon, challenge strong enemies, and even use her own body! Everything she is trying to do is for saving her family!!"
3516,Little Witch Nobeta - Bunny & Bear Muppet Skin Bundle,"28 Sep, 2022",Pupuya Games,Pupuya Games,"['Action', 'Indie']",399.0,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'French', 'German', 'Russian', 'Thai', 'Spanish - Latin America', 'Vietnamese', 'Korean']",0.0,0.0,1.0,,,,0.6907087552895784,2152390,"['Action', 'Indie', 'Funny', 'Cute']",Little Witch Nobeta skin bundle include the Bunny suit with adorable rabbit ear and tail &amp; your family friendly bear muppet suit. Put Nobeta in these unique outfits for a special adventure!
3517,TITANIC Shipwreck Exploration,"16 Oct, 2018",Immersive VR Education PLC,Immersive VR Education PLC,['Simulation'],1999.0,['English'],0.0,0.0,1.0,,,,0.6965904442073413,924800,"['Simulation', 'Exploration']",Titanic Shipwreck Exploration is a diving simulator and immersive interactive story. With over 6 hours of game-play it you will leave with a greater understanding of the historic tragedy that unfolded in 1912 leading to the sinking of the worlds most famous ship.
3518,Borderlands 2: Siren Learned Warrior Pack,"3 Sep, 2013",Gearbox Software,2K,"['Action', 'RPG']",99.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean']",0.0,0.0,1.0,,,,0.6808390273199227,224143,"['RPG', 'Action']",Enhance your Vault-hunting experience with a fresh new style! This pack contains the Professor of Pain head and Dial M for Maya skin for the Siren -- look for them in the character customization menu!
3519,Virtuoso,"10 Mar, 2022",Really Interactive,Fast Travel Games,"['Indie', 'Audio Production']",1679.0,['English'],0.0,0.0,0.0,,,,0.6801138244401574,1213710,"['Indie', 'Music', 'VR', 'Electronic Music', 'Casual', 'Family Friendly', 'Instrumental Music', 'Relaxing', 'Audio Production', 'Atmospheric', 'Sandbox', 'Singleplayer', 'Arcade']","Grab an instrument and get ready to jam in Virtuoso, your own virtual music stage! This VR musical sandbox lets anyone play and perform music in new, immersive ways. Explore a range of unique instruments made for VR and share your tracks with the world!"
3520,Naval Action - Redoutable,"1 Feb, 2020",Game-Labs,Game-Labs,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'Simulation', 'Strategy']",4899.0,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Ukrainian']",0.0,0.0,0.0,,,,0.6929548607453019,1214480,"['Simulation', 'Indie', 'Strategy', 'Action', 'Adventure', 'Massively Multiplayer']","Redoutable is a Téméraire class 74-gun ship of the line. She fought against HMS Victory and 2 other ships during the Battle of Trafalgar, killing Vice Admiral Horatio Nelson during the action. She sank in the storm that followed the battle."
3521,Summer~Life in the Countryside~ +Outing,"31 Aug, 2022",Dieselmine,Dieselmine,"['Adventure', 'Indie', 'Simulation']",1159.0,"['English', 'Japanese', 'Simplified Chinese']",0.0,1.0,1.0,,,,0.7011356006043731,2107850,"['Simulation', 'Indie', 'Sexual Content', 'Adventure']","This is a DLC for ""Summer~Life in the Countryside~"". ☆ Additional elements ・Outdoor map is added. ・Fast travel is added. ・Outing events ""Camping"", ""Swimming"", and ""Summer Festival"" are added. ・One ending is added."
3522,DCS: Sinai Map by OnReTech,"8 Jun, 2023",Eagle Dynamics SA,Eagle Dynamics SA,['Simulation'],3724.0,"['English', 'German', 'Spanish - Spain', 'Russian', 'Czech', 'French', 'Simplified Chinese']",0.0,0.0,1.0,,,,0.6790095533175399,2320360,"['Simulation', 'Free to Play']","The DCS: Sinai map is focused on the Sinai Peninsula, located between the Gulf of Suez and the Gulf of Aqaba with eastern Egypt to the west and southern Israel to the east. Since ancient times, it has been a strategic location rich in resources, nature, religion, and history."
3523,VBridger,"10 Apr, 2022",PiPuProductions,PiPuProductions,"['Casual', 'Animation & Modeling', 'Utilities']",819.0,"['English', 'French', 'Japanese', 'German', 'Russian', 'Spanish - Latin America']",1.0,0.0,1.0,,,,0.6830281252072019,1898830,"['Casual', 'Utilities', 'Animation & Modeling']","VBridger is a face tracking plugin designed for Vtube Studio and Live2D, which allows the user to make better use of IphoneX ARKit tracking on their live2D model."
3524,Ticket to Ride - Europe,"24 May, 2012",Days of Wonder,Days of Wonder,"['Casual', 'Indie', 'Strategy']",399.0,"['English', 'French', 'German', 'Italian', 'Spanish - Spain']",0.0,0.0,1.0,,,,0.6977391708955699,108230,"['Indie', 'Casual', 'Strategy', 'Board Game']","Ticket to Ride Europe takes you on a new train adventure through the great cities of turn-of-the-century Europe. Discover new rules like Tunnels, Ferries and Stations in this new map, our most popular add-on for Ticket to Ride!"
3525,Warplan Pacific,"17 Mar, 2022",Kraken Studios,Slitherine Ltd.,['Strategy'],3399.0,['English'],0.0,0.0,1.0,,,,0.7765346626330245,1896160,"['Strategy', 'Turn-Based Strategy', 'Turn-Based Tactics', 'World War II', 'Multiplayer', 'Singleplayer', 'Wargame', 'Historical', 'Military']",WarPlan Pacific is an operational level wargame which covers all the nations at war in the Pacific theatre from December 1941 to 1945 on a massive game scale.
3526,Wild Frontier,"22 May, 2023",AMMC,AMMC Games,"['Action', 'Adventure', 'Early Access']",1379.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Portuguese - Brazil', 'Russian']",0.0,1.0,1.0,,,,0.6657228829365928,1871770,"['Adventure', 'Survival', 'Action', 'Crafting', 'Relaxing', 'Action-Adventure', 'Sandbox', 'Exploration', 'FPS', '3D', 'Stylized', 'First-Person', 'Atmospheric', 'Loot', 'Mining', 'Base Building', 'Open World', 'Nonlinear', 'Singleplayer', 'Early Access']","Escape to an enchanting, living sandbox surrounded by wildlife and nature."
3527,Car Mechanic Simulator 2021 - Lotus Remastered DLC,"5 May, 2022",Red Dot Games,PlayWay S.A.,"['Racing', 'Simulation']",329.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Simplified Chinese', 'Japanese', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Korean', 'Turkish', 'Czech', 'Romanian', 'Arabic', 'Hungarian']",0.0,0.0,1.0,,,,0.6586205592912904,1981550,"['Simulation', 'Racing']",Car Mechanic Simulator 2021 - Lotus Remastered DLC includes - LOTUS Esprit S1 - LOTUS Elise S1
3528,Tropico 6 - Original Soundtrack,"6 Apr, 2020",Limbic Entertainment,Kalypso Media,"['Simulation', 'Strategy']",699.0,[],0.0,0.0,1.0,,,,0.6210038014680527,1224940,"['Strategy', 'Simulation', 'Soundtrack']",Now's the time to feel right at home with the spectacular soundtrack extraordinaire of Tropico's latest installment.
3529,LOVE³ -Love Cube- Original Soundtrack,"2 Aug, 2019",NEKO WORK H,NEKO WORK H,"['Casual', 'Indie']",819.0,"['English', 'Japanese']",0.0,0.0,1.0,,,,0.6538167678071323,1132060,"['Indie', 'Casual']",Add LOVE³ -Love Cube- Original Sound Track.
3530,STORY OF SEASONS: Pioneers of Olive Town - Expansion Pass,"15 Sep, 2021",Marvelous Inc.,XSEED Games,"['Casual', 'RPG', 'Simulation']",1499.0,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese']",0.0,0.0,1.0,,,,0.6200161459186735,1567290,"['Simulation', 'RPG', 'Casual', 'Agriculture', 'Cute']","This expansive bundle will enhance your life on the farm even further with new characters, costumes, and more!"
3531,Realm Royale Reforged,"5 Jun, 2018",Heroic Leap Games,Hi-Rez Studios,"['Action', 'Free to Play', 'Early Access']",0.0,"['English', 'French', 'German', 'Polish', 'Russian', 'Portuguese - Portugal', 'Japanese', 'Spanish - Latin America']",1.0,0.0,0.0,,,,0.7491132227212706,813820,"['Battle Royale', 'Free to Play', 'Multiplayer', 'Shooter', 'Survival', 'Early Access', 'PvP', 'Action', 'Third-Person Shooter', 'Third Person', 'Competitive', 'FPS', 'Team-Based', 'Fantasy', 'Massively Multiplayer', 'Open World', 'Co-op', 'Online Co-Op', 'Memes', 'Singleplayer']","Join 20+ million players and experience a new kind of battle royale in Realm Royale Reforged! Choose your class, forge deadly weapons, and master powerful abilities to be the last champion standing. Mount up alone or with a team to explore a fantasy world while outrunning the deadly fog."
3532,Stranded Deep,"10 Aug, 2022",Beam Team Games,Beam Team Publishing,"['Adventure', 'Indie']",1599.0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Russian']",1.0,0.0,1.0,,,,0.7418836836505396,313120,"['Open World Survival Craft', 'Survival', 'Multiplayer', 'Open World', 'Crafting', 'First-Person', 'Adventure', 'Exploration', 'Realistic', 'Singleplayer', 'Building', 'Sandbox', 'Co-op', 'Simulation', 'Early Access', 'Underwater', 'Action', 'Atmospheric', 'Indie', 'Strategy']",Take the role of a plane crash survivor stranded somewhere in the Pacific Ocean. Come face to face with some of the most life threatening scenarios that will result in a different experience each time you play. Scavenge. Discover. Survive.
